seed,tau,alpha
36,0.05,1.814959309940393
36,0.1,1.8528655865582195
36,0.2,2.202086932708221
36,0.3,2.528276083306679
36,0.5,3.3257571597249846
36,0.8,4.152522878431858
36,1.0,3.9733701298614545
37,0.0,1.7898763798045034
37,0.05,1.784114140438634
37,0.1,1.7968156900530774
37,0.2,2.176119312716742
37,0.3,2.4732772538887304
37,0.5,3.3054628815349
37,0.8,3.7963554052233572
37,1.0,3.753775276845249
38,0.0,1.966162700316351
38,0.05,1.9145620756428485
38,0.1,1.9080763052090872
38,0.2,2.2140636390623833
38,0.3,2.76031748718069
38,0.5,3.4317093594293926
38,0.8,4.099043648327054
38,1.0,4.220042760780118
39,0.0,1.8367461565933556
39,0.05,1.8254027043639085
39,0.1,1.839871455841697
39,0.2,2.106121122870219
39,0.3,2.722037441245634
39,0.5,3.7286172621483753
39,0.8,4.38733190269587
39,1.0,4.4748492457075155
40,0.0,1.854913924523058
40,0.05,1.8063078524852874
40,0.1,1.874941666826145
40,0.2,2.1962698909256755
40,0.3,2.5195214993347186
40,0.5,3.309510095416788
40,0.8,3.5525030771459254
40,1.0,4.202608240798928
41,0.0,1.8464777865043323
41,0.05,1.8765571396727145
41,0.1,1.8093418164692978
41,0.2,2.0499227535816598
41,0.3,2.6732054551323574
41,0.5,3.362128896451968
41,0.8,3.8460709232421033
41,1.0,3.9517028224696142
42,0.0,1.8568316387539143
42,0.05,1.8565046514465913
42,0.1,1.827292260096105
42,0.2,2.1801549980602752
42,0.3,2.6266140818699344
