epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.3,False,81,True,4.6000000000000005,3.0000000000000004
0.3,False,82,True,4.6000000000000005,3.0000000000000004
0.3,False,83,True,4.6000000000000005,3.0000000000000004
0.3,False,84,True,4.6000000000000005,3.0000000000000004
0.3,False,85,True,4.6000000000000005,3.0000000000000004
0.3,False,86,True,4.6000000000000005,3.0000000000000004
0.3,False,87,True,4.6000000000000005,3.0000000000000004
0.3,False,88,True,4.6000000000000005,3.0000000000000004
0.3,False,89,True,4.6000000000000005,3.0000000000000004
0.3,False,90,True,4.6000000000000005,3.0000000000000004
0.3,False,91,True,4.6000000000000005,3.0000000000000004
0.3,False,92,True,4.6000000000000005,3.0000000000000004
0.3,False,93,True,4.6000000000000005,3.0000000000000004
0.3,False,94,True,4.6000000000000005,3.0000000000000004
0.3,False,95,True,4.6000000000000005,3.0000000000000004
0.3,False,96,True,4.6000000000000005,3.0000000000000004
0.3,False,97,True,4.6000000000000005,3.0000000000000004
0.3,False,98,True,4.6000000000000005,3.0000000000000004
0.3,False,99,True,4.6000000000000005,3.0000000000000004
0.3,True,0,True,4.6000000000000005,3.0000000000000004
0.3,True,1,False,1.6,0.0
0.3,True,2,False,1.6,0.0
0.3,True,3,False,1.6,0.0
0.3,True,4,False,1.6,0.0
0.3,True,5,True,4.6000000000000005,3.0000000000000004
0.3,True,6,True,4.6000000000000005,3.0000000000000004
0.3,True,7,True,4.6000000000000005,3.0000000000000004
0.3,True,8,True,4.6000000000000005,3.0000000000000004
0.3,True,9,True,4.6000000000000005,3.0000000000000004
0.3,True,10,True,4.6000000000000005,3.0000000000000004
0.3,True,11,True,4.6000000000000005,3.0000000000000004
0.3,True,12,False,1.6,0.0
0.3,True,13,False,1.6,0.0
0.3,True,14,True,4.6000000000000005,3.0000000000000004
0.3,True,15,True,4.6000000000000005,3.0000000000000004
0.3,True,16,False,1.6,0.0
0.3,True,17,True,4.6000000000000005,3.0000000000000004
0.3,True,18,False,1.6,0.0
0.3,True,19,False,1.6,0.0
0.3,True,20,True,4.6000000000000005,3.0000000000000004
0.3,True,21,False,1.6,0.0
0.3,True,22,True,4.6000000000000005,3.0000000000000004
0.3,True,23,False,1.6,0.0
0.3,True,24,False,1.6,0.0
0.3,True,25,True,4.6000000000000005,3.0000000000000004
0.3,True,26,False,1.6,0.0
0.3,True,27,False,1.6,0.0
0.3,True,28,False,1.6,0.0
0.3,True,29,True,4.6000000000000005,3.0000000000000004
