seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
2,s2_guarded,55,1789367867.686327631,1789367888.105660432,2,1,0
2,s2_guarded,56,1789367909.509922218,1789367930.064286466,1,5,0
2,s2_guarded,57,1789367950.966542158,1789367971.257401322,5,2,0
2,s2_guarded,58,1789367992.381484966,1789368013.104047841,2,1,0
2,s2_guarded,59,1789368034.847004942,1789368055.538626527,1,2,0
2,s2_guarded,60,1789368076.603425234,1789368096.918269643,2,4,0
2,s2_guarded,61,1789368118.417450322,1789368138.669439586,4,2,0
2,s2_guarded,62,1789368159.947732495,1789368180.449535240,2,4,0
2,s2_guarded,63,1789368201.821116875,1789368222.421766657,4,2,0
2,s2_guarded,64,1789368243.731146775,1789368264.314077783,2,1,0
2,s2_guarded,65,1789368286.226103787,1789368306.885842946,1,2,0
2,s2_guarded,66,1789368328.057084593,1789368348.785413257,2,1,0
2,s2_guarded,67,1789368367.812841192,1789368388.396986296,1,4,0
2,s2_guarded,68,1789368410.018849439,1789368430.713707760,4,2,0
2,s2_guarded,69,1789368452.373248214,1789368473.051985620,2,1,0
2,s2_guarded,70,1789368495.311237939,1789368516.320367798,1,4,0
2,s2_guarded,71,1789368537.881218783,1789368558.501809436,4,2,0
2,s2_guarded,72,1789368580.146963233,1789368600.591382452,2,1,0
2,s2_guarded,73,1789368615.521968995,1789368635.956624951,1,2,0
2,s2_guarded,74,1789368650.944746051,1789368671.422139740,2,4,0
2,s2_guarded,75,1789368686.401723986,1789368706.901088830,4,2,0
2,s2_guarded,76,1789368721.897833205,1789368742.327851651,2,5,0
2,s2_guarded,77,1789368757.201863605,1789368777.427448504,5,4,0
2,s2_guarded,78,1789368792.285265222,1789368812.614910100,4,1,0
2,s2_guarded,79,1789368827.389177334,1789368848.076126781,1,2,0
2,s2_guarded,80,1789368862.780084875,1789368883.362355952,2,5,0
2,s2_guarded,81,1789368898.141790577,1789368918.377018534,5,2,0
2,s2_guarded,82,1789368933.235038377,1789368953.537703561,2,1,0
2,s2_guarded,83,1789368968.342747498,1789368988.615634801,1,5,0
2,s2_guarded,84,1789369003.380967476,1789369023.601536160,5,4,0
2,s2_guarded,85,1789369038.428328035,1789369058.772418213,4,2,0
2,s2_guarded,86,1789369073.587197571,1789369093.817264826,2,5,0
2,s2_guarded,87,1789369108.530758349,1789369128.637752988,5,2,0
2,s2_guarded,88,1789369143.224757889,1789369163.466701088,2,5,0
2,s2_guarded,89,1789369178.188235331,1789369198.472560708,5,2,0
2,s2_guarded,90,1789369213.197383384,1789369233.325451395,2,5,0
2,s2_guarded,91,1789369247.945634043,1789369267.912902989,5,2,0
2,s2_guarded,92,1789369282.396706183,1789369302.588698228,2,4,0
2,s2_guarded,93,1789369317.202169471,1789369337.470852605,4,2,0
2,s2_guarded,94,1789369352.304548419,1789369372.639610171,2,4,0
2,s2_guarded,95,1789369387.063633601,1789369406.977667721,4,2,0
2,s2_guarded,96,1789369421.537638563,1789369441.660031581,2,5,0
2,s2_guarded,97,1789369456.233979567,1789369476.293087259,5,1,0
2,s2_guarded,98,1789369490.929440022,1789369510.823698859,1,2,0
2,s2_guarded,99,1789369525.158514576,1789369545.291248046,2,4,0
2,s2_guarded,100,1789369559.711405001,1789369579.940808024,4,2,0
2,s2_vanilla,1,1789369765.635486525,1789369785.727870937,2,1,0
2,s2_vanilla,2,1789369807.306484412,1789369827.579947971,1,5,0
2,s2_vanilla,3,1789369848.676214319,1789369869.263983600,5,2,0
2,s2_vanilla,4,1789369890.828866434,1789369911.158054615,2,5,0
2,s2_vanilla,5,1789369932.527192615,1789369952.869651860,5,2,0
2,s2_vanilla,6,1789369974.214027988,1789369994.601890576,2,4,0
2,s2_vanilla,7,1789370015.723501995,1789370036.016360875,4,2,0
2,s2_vanilla,8,1789370057.865267619,1789370078.275414318,2,4,0
2,s2_vanilla,9,1789370099.694472696,1789370120.301256612,4,2,0
2,s2_vanilla,10,1789370141.913108366,1789370162.533471817,2,5,0
2,s2_vanilla,11,1789370184.073894683,1789370204.595077989,5,1,0
2,s2_vanilla,12,1789370227.201815956,1789370248.254782698,1,5,0
2,s2_vanilla,13,1789370270.269438423,1789370291.071271656,5,1,0
2,s2_vanilla,14,1789370313.851958484,1789370335.039819343,1,4,0
2,s2_vanilla,15,1789370357.329966850,1789370378.682514201,4,1,0
2,s2_vanilla,16,1789370401.532995094,1789370422.364953716,1,2,0
2,s2_vanilla,17,1789370444.999775109,1789370466.447064319,2,4,0
2,s2_vanilla,18,1789370489.066160960,1789370509.967938199,4,1,0
2,s2_vanilla,19,1789370532.742923722,1789370554.447898524,1,4,0
2,s2_vanilla,20,1789370577.133126882,1789370598.338279967,4,5,0
2,s2_vanilla,21,1789370621.104208984,1789370642.320830341,5,4,0
2,s2_vanilla,22,1789370665.138693295,1789370687.319005624,4,1,0
2,s2_vanilla,23,1789370710.655616275,1789370732.036412436,1,5,0
2,s2_vanilla,24,1789370755.327400394,1789370776.676887603,5,2,0
2,s2_vanilla,25,1789370799.872301265,1789370821.333059234,2,4,0
2,s2_vanilla,26,1789370844.777121170,1789370867.339458487,4,2,0
2,s2_vanilla,27,1789370890.499517448,1789370911.967338313,2,4,0
2,s2_vanilla,28,1789370935.639086602,1789370956.745622320,4,5,0
2,s2_vanilla,29,1789370979.995959888,1789371003.709164094,5,1,0
2,s2_vanilla,30,1789371027.713780479,1789371049.133619109,1,2,0
2,s2_vanilla,31,1789371072.992504266,1789371094.591897640,2,4,0
2,s2_vanilla,32,1789371116.771009385,1789371140.119233522,4,2,0
2,s2_vanilla,33,1789371163.489433652,1789371184.964599077,2,4,0
