loss,jitter,seed,failover_van,failover_ai,storm_rate_van,storm_rate_ai
0.02,5.0,10,256.89825480037433,146.0611366772929,0.01,0.01
0.02,5.0,11,256.9975952159581,140.74448251428817,0.02,0.0
0.02,5.0,12,265.7637081097871,140.8484121354523,0.03,0.0
0.02,5.0,13,256.18841206384747,145.49451458008934,0.01,0.0
0.02,5.0,14,265.06271720253284,149.09300848128765,0.0,0.01
0.02,5.0,15,261.9039354170436,146.50859777526603,0.02,0.01
0.02,5.0,16,255.15263285301322,147.86267566701923,0.0,0.02
0.02,5.0,17,249.97737863124738,141.00857666795628,0.06,0.0
0.02,5.0,18,265.748031565571,135.31128646362586,0.04,0.0
0.02,5.0,19,269.05860850542865,150.78630344023384,0.01,0.0
0.02,5.0,20,261.63134714805994,143.02479843873647,0.01,0.0
0.02,5.0,21,268.4232075305073,145.978166049422,0.04,0.0
0.02,5.0,22,256.33036279147325,144.58058468474326,0.0,0.0
0.02,5.0,23,261.03308702164463,154.67697155288425,0.02,0.0
0.02,5.0,24,260.8386208818157,147.8975556355926,0.0,0.01
0.02,5.0,25,261.5834047185,151.69993946438518,0.02,0.0
0.02,5.0,26,261.30237610849304,152.55661846104027,0.01,0.01
0.02,5.0,27,274.7485134183849,145.54180906898702,0.03,0.0
0.02,5.0,28,270.74680365184156,148.987891881155,0.0,0.0
0.02,5.0,29,261.1631758560831,148.27710102380607,0.02,0.0
0.02,10.0,0,265.67286302574064,148.73365814068114,0.02,0.0
0.02,10.0,1,261.9402368932989,145.26198666589045,0.01,0.0
0.02,10.0,2,255.00453321759608,153.53773379054496,0.03,0.0
0.02,10.0,3,268.4684899651891,144.45108339664557,0.02,0.02
0.02,10.0,4,268.22959520497955,146.208574102907,0.02,0.0
0.02,10.0,5,257.04639067852577,150.35143077473447,0.02,0.01
0.02,10.0,6,272.93372496639495,150.19122987015749,0.01,0.0
0.02,10.0,7,258.1495620086504,144.42092913195685,0.01,0.0
0.02,10.0,8,251.86202253913774,147.00702891588662,0.02,0.01
0.02,10.0,9,265.72252990800104,147.63242503514397,0.0,0.0
0.02,10.0,10,258.4954022968803,146.85279798170234,0.01,0.01
0.02,10.0,11,258.9264525814144,140.404518705486,0.02,0.0
0.02,10.0,12,269.812719265655,140.75446159699123,0.03,0.0
0.02,10.0,13,255.8909736640138,146.39808279725543,0.01,0.0
0.02,10.0,14,267.34511922760555,147.72706689081517,0.0,0.01
0.02,10.0,15,260.3570246819528,146.69674104186714,0.02,0.01
0.02,10.0,16,255.0381274776693,148.15076319048913,0.0,0.02
0.02,10.0,17,246.77525261410221,141.30396210842576,0.06,0.0
0.02,10.0,18,265.4540569871653,137.9354141010452,0.04,0.0
0.02,10.0,19,269.5090493897078,151.74403344376856,0.01,0.0
0.02,10.0,20,265.12858370023446,143.306873112564,0.01,0.0
0.02,10.0,21,265.3105363031923,145.95394609766225,0.04,0.0
0.02,10.0,22,255.66198316466247,145.5038201036905,0.0,0.0
0.02,10.0,23,265.6029253388738,154.89127818143058,0.02,0.0
0.02,10.0,24,263.31065040184365,147.7157436603556,0.0,0.01
0.02,10.0,25,260.11980277394554,152.00870338430346,0.02,0.0
0.02,10.0,26,262.7572844183379,152.53269479665167,0.01,0.01
0.02,10.0,27,273.7134751655998,145.51228938619172,0.03,0.0
0.02,10.0,28,270.73623293426306,148.40947496710498,0.0,0.0
0.02,10.0,29,261.93962609088123,147.99893915853113,0.02,0.0
0.02,20.0,0,266.9398159511792,147.17434530146429,0.02,0.0
0.02,20.0,1,266.05883376538395,144.3292360575014,0.01,0.0
0.02,20.0,2,256.8605304544187,151.93270194157896,0.03,0.0
0.02,20.0,3,264.20451159077743,142.6319245112522,0.02,0.02
0.02,20.0,4,269.3812161818994,147.7335685093292,0.02,0.0
0.02,20.0,5,265.6014306741859,151.87598790782795,0.02,0.01
0.02,20.0,6,270.1254973819033,151.8694078526766,0.01,0.0
0.02,20.0,7,251.33313909287827,143.23612343383837,0.01,0.0
0.02,20.0,8,247.30210848295945,149.40738745150242,0.02,0.01
